date,snow_depth_water_equivalent_mean,surface_net_solar_radiation_mean,surface_net_thermal_radiation_mean,surface_pressure_mean,temperature_2m_mean,dewpoint_temperature_2m_mean,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean,snow_depth_water_equivalent_min,surface_net_solar_radiation_min,surface_net_thermal_radiation_min,surface_pressure_min,temperature_2m_min,dewpoint_temperature_2m_min,u_component_of_wind_10m_min,v_component_of_wind_10m_min,volumetric_soil_water_layer_1_min,volumetric_soil_water_layer_2_min,volumetric_soil_water_layer_3_min,volumetric_soil_water_layer_4_min,snow_depth_water_equivalent_max,surface_net_solar_radiation_max,surface_net_thermal_radiation_max,surface_pressure_max,temperature_2m_max,dewpoint_temperature_2m_max,u_component_of_wind_10m_max,v_component_of_wind_10m_max,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_2_max,volumetric_soil_water_layer_3_max,volumetric_soil_water_layer_4_max,total_precipitation_sum,potential_evaporation_sum,streamflow
1981-01-02,0.0,7.39,-13.03,100.72,7.52,5.05,7.09,1.41,0.43,0.43,0.44,0.42,0.0,-0.0,-24.21,99.85,4.29,1.55,5.49,0.86,0.43,0.43,0.44,0.42,0.0,44.67,-5.53,101.72,9.12,6.57,8.04,1.93,0.44,0.43,0.44,0.42,2.9,1.84,0.33
1981-01-03,0.0,32.19,-55.23,99.36,8.38,3.25,8.84,-0.51,0.43,0.43,0.44,0.42,0.0,-0.0,-92.03,98.97,5.11,-0.86,6.18,-3.28,0.43,0.43,0.44,0.42,0.0,166.73,-4.42,99.84,11.04,7.8,11.23,2.53,0.44,0.43,0.44,0.42,0.3,4.63,0.37
1981-01-04,0.0,36.69,-80.63,100.07,2.82,-2.73,5.67,-3.11,0.42,0.43,0.44,0.42,0.0,0.0,-105.31,99.65,0.42,-7.19,3.74,-5.34,0.42,0.43,0.44,0.42,0.0,179.08,-40.55,100.97,4.92,0.27,8.61,0.23,0.43,0.43,0.44,0.42,0.05,3.23,0.38
1981-01-05,0.06,38.24,-76.32,101.4,-0.09,-3.6,3.57,-0.96,0.42,0.43,0.44,0.42,0.0,0.0,-101.48,100.79,-2.29,-5.82,2.18,-3.3,0.42,0.43,0.44,0.42,0.45,196.67,-23.98,101.74,3.3,0.72,7.55,2.46,0.42,0.43,0.44,0.42,0.67,1.0,0.29
1981-01-06,0.38,20.45,-58.59,101.21,2.23,-0.42,3.57,-3.4,0.43,0.43,0.44,0.42,0.27,0.0,-85.2,100.7,-2.05,-2.55,0.24,-6.02,0.42,0.42,0.44,0.42,0.57,118.19,-24.12,102.03,4.21,1.57,7.92,-1.38,0.43,0.43,0.44,0.42,1.59,1.36,0.28
1981-01-07,0.57,17.88,-24.24,102.6,-0.82,-1.67,2.26,-1.13,0.43,0.43,0.44,0.42,0.57,0.0,-79.95,102.11,-2.54,-3.11,1.37,-2.49,0.43,0.43,0.44,0.42,0.58,99.23,-2.72,102.87,1.35,0.16,2.81,2.32,0.43,0.43,0.44,0.42,0.13,0.27,0.29
1981-01-08,0.34,21.42,-20.47,102.46,5.8,4.93,3.04,0.88,0.43,0.43,0.44,0.42,0.16,-0.0,-45.1,102.23,1.63,0.31,1.83,-0.35,0.43,0.43,0.44,0.42,0.56,109.62,4.91,102.65,8.39,7.3,3.97,3.06,0.43,0.43,0.44,0.42,0.36,0.06,0.28
1981-01-09,0.05,13.73,-23.33,101.56,5.96,4.56,4.21,0.61,0.44,0.43,0.44,0.42,0.02,0.0,-70.81,101.04,1.49,0.49,2.79,-3.59,0.43,0.43,0.44,0.42,0.14,77.82,-6.11,102.18,7.81,6.23,5.51,3.2,0.47,0.43,0.44,0.42,4.62,0.69,0.3
1981-01-10,0.09,32.09,-58.83,101.61,1.7,-0.74,0.21,-6.12,0.45,0.44,0.44,0.42,0.02,0.0,-81.71,101.05,0.26,-2.06,-1.7,-7.75,0.44,0.44,0.44,0.42,0.16,149.45,-13.88,102.36,3.5,0.73,2.65,-3.01,0.46,0.44,0.44,0.42,1.18,1.44,0.32
1981-01-11,0.15,37.32,-72.8,102.41,0.03,-1.97,0.73,-3.17,0.44,0.44,0.44,0.42,0.14,0.0,-81.33,102.0,-2.81,-4.33,-0.65,-6.01,0.44,0.44,0.44,0.42,0.16,186.8,-60.14,102.66,2.86,-0.66,2.68,1.19,0.44,0.44,0.44,0.42,0.11,0.56,0.33
1981-01-12,0.13,15.89,-53.07,100.54,0.93,-2.09,4.8,-1.2,0.45,0.44,0.44,0.42,0.1,0.0,-90.99,99.83,-2.3,-6.64,2.57,-6.84,0.44,0.44,0.44,0.42,0.15,96.9,-2.93,101.79,4.39,3.08,7.03,3.28,0.46,0.44,0.44,0.42,2.42,1.25,0.31
1981-01-13,0.22,43.96,-68.26,101.06,-0.73,-7.32,3.75,-1.88,0.44,0.44,0.44,0.42,0.11,0.0,-103.52,100.46,-2.81,-12.17,3.02,-6.77,0.44,0.44,0.44,0.42,0.77,219.4,-0.14,101.46,2.23,0.89,5.24,3.98,0.45,0.44,0.44,0.42,0.83,2.57,0.31
1981-01-14,0.25,11.64,-19.08,99.09,6.62,4.59,7.59,0.57,0.45,0.44,0.44,0.42,0.04,0.0,-60.94,97.95,3.31,0.82,5.29,-4.3,0.44,0.44,0.44,0.42,0.71,77.71,5.12,100.39,8.81,6.82,9.51,3.31,0.47,0.45,0.44,0.42,4.17,1.31,0.32
1981-01-15,0.05,43.69,-84.74,98.83,1.08,-3.02,6.2,-2.72,0.45,0.45,0.44,0.42,0.04,0.0,-96.38,98.09,-1.31,-4.21,3.91,-4.3,0.44,0.45,0.44,0.42,0.06,216.29,-50.52,99.73,2.92,-0.24,7.56,-1.61,0.46,0.45,0.44,0.42,0.11,2.3,0.37
1981-01-16,0.97,13.84,-51.29,99.3,0.63,-1.01,3.26,1.51,0.45,0.45,0.44,0.42,0.06,0.0,-88.9,98.36,-3.68,-5.03,-0.8,-1.93,0.44,0.45,0.44,0.42,2.86,69.65,4.99,100.03,6.68,5.18,7.57,7.58,0.47,0.45,0.44,0.42,5.07,0.2,0.38
1981-01-17,1.13,31.61,-52.24,98.79,3.66,1.14,5.06,0.03,0.46,0.45,0.44,0.42,0.61,0.0,-78.54,98.47,2.25,-0.1,1.24,-5.92,0.46,0.45,0.44,0.42,1.57,184.43,-5.33,99.96,6.09,2.67,6.77,2.69,0.47,0.46,0.44,0.42,2.5,1.22,0.59
